AÑO;MES;CCAA_DESTINO;CONTINENTE_ORIGEN;PAIS_ORIGEN;TURISTAS;PERNOCTACIONES;ESTANCIA_MEDIA
2019;11;Comunidad de Madrid;Europa;Portugal;22711.0;115826.0;5.1
2019;11;Comunidad de Madrid;Europa;Reino Unido;58620.0;316465.0;5.15
2019;11;Comunidad de Madrid;Europa;República Checa;1843.0;9031.0;4.9
2019;11;Comunidad de Madrid;Europa;República Eslovaca;860.0;3956.0;4.6
2019;11;Comunidad de Madrid;Europa;Rumanía;7022.0;51963.0;7.4
2019;11;Comunidad de Madrid;Europa;Rusia;5629.0;23079.0;4.1
2019;11;Comunidad de Madrid;Europa;Serbia;569.0;2219.0;3.9
2019;11;Comunidad de Madrid;Europa;Suecia;12498.0;128729.0;10.3
2019;11;Comunidad de Madrid;Europa;Suiza;11530.0;49579.0;4.3
2019;11;Comunidad de Madrid;Europa;Turquía;1988.0;8151.0;4.1
2019;11;Comunidad de Madrid;Europa;Ucrania;3809.0;18664.0;4.9
2019;11;Comunidad de Madrid;Oceanía;Australia;895.0;6086.0;6.8
2019;11;Comunidad de Madrid;Oceanía;Nueva Zelanda;136.0;898.0;6.6
2019;11;Comunidad de Madrid;Total;Total;569773.0;4183397.0;7.3
2019;11;Comunidad de Madrid;Total;Total América;95571.0;593539.0;6.2
2019;11;Comunidad de Madrid;Total;Total América del Norte;51906.0;337334.0;6.5
2019;11;Comunidad de Madrid;Total;Total Asia;44701.0;262509.0;5.9
2019;11;Comunidad de Madrid;Total;Total Centroamérica y Caribe;4285.0;22763.0;5.3
2019;11;Comunidad de Madrid;Total;Total Europa;414094.0;3215541.0;7.8
2019;11;Comunidad de Madrid;Total;Total Oceanía;1037.0;7038.0;6.8
2019;11;Comunidad de Madrid;Total;Total Sudamérica;39380.0;233442.0;5.9
2019;11;Comunidad de Madrid;Total;Total África;14370.0;104770.0;7.3
2019;11;Comunidad de Madrid;África;Angola;92.0;543.0;5.9
2019;11;Comunidad de Madrid;África;Argelia;994.0;5666.0;5.7
2019;11;Comunidad de Madrid;África;Camerún;48.0;346.0;7.2
2019;11;Comunidad de Madrid;África;Costa de Marfil;74.0;614.0;8.3
2019;11;Comunidad de Madrid;África;Egipto;747.0;3586.0;4.8
2019;11;Comunidad de Madrid;África;Ghana;105.0;851.0;8.1
2019;11;Comunidad de Madrid;África;Guinea;35.0;238.0;6.8
2019;11;Comunidad de Madrid;África;Guinea Ecuatorial;904.0;9311.0;10.3
2019;11;Comunidad de Madrid;África;Kenia;151.0;800.0;5.3
2019;11;Comunidad de Madrid;África;Libia;62.0;558.0;9.0
2019;11;Comunidad de Madrid;África;Mali;109.0;883.0;8.1
2019;11;Comunidad de Madrid;África;Marruecos;8736.0;67267.0;7.7
2019;11;Comunidad de Madrid;África;Mauritania;117.0;1065.0;9.1
2019;11;Comunidad de Madrid;África;Mozambique;31.0;102.0;3.3
2019;11;Comunidad de Madrid;África;Nigeria;732.0;6661.0;9.1
2019;11;Comunidad de Madrid;África;República Democrática del Congo;32.0;224.0;7.0
2019;11;Comunidad de Madrid;África;Senegal;438.0;1927.0;4.4
2019;11;Comunidad de Madrid;África;Sudáfrica;237.0;1090.0;4.6
2019;11;Comunidad de Madrid;África;Sudán;64.0;224.0;3.5
2019;11;Comunidad de Madrid;África;Túnez;475.0;1758.0;3.7
2019;12;Comunidad de Madrid;América;Argentina;6206.0;28548.0;4.6
2019;12;Comunidad de Madrid;América;Bolivia;216.0;1512.0;7.0
2019;12;Comunidad de Madrid;América;Brasil;6307.0;39734.0;6.3
2019;12;Comunidad de Madrid;América;Canadá;1421.0;7531.0;5.3
2019;12;Comunidad de Madrid;América;Chile;1832.0;8977.0;4.9
2019;12;Comunidad de Madrid;América;Colombia;10363.0;70468.0;6.8
2019;12;Comunidad de Madrid;América;Costa Rica;642.0;3210.0;5.0
2019;12;Comunidad de Madrid;América;Cuba;67.0;462.0;6.9
2019;12;Comunidad de Madrid;América;Ecuador;1139.0;9226.0;8.1
2019;12;Comunidad de Madrid;América;El Salvador;353.0;2824.0;8.0
2019;12;Comunidad de Madrid;América;Estados Unidos de América;36285.0;246738.0;6.8
2019;12;Comunidad de Madrid;América;Guatemala;1201.0;6005.0;5.0
2019;12;Comunidad de Madrid;América;Honduras;553.0;2489.0;4.5
2019;12;Comunidad de Madrid;América;Jamaica;86.0;533.0;6.2
2019;12;Comunidad de Madrid;América;México;11492.0;63206.0;5.5
2019;12;Comunidad de Madrid;América;Nicaragua;342.0;4754.0;13.9
2019;12;Comunidad de Madrid;América;Panamá;644.0;4250.0;6.6
2019;12;Comunidad de Madrid;América;Paraguay;887.0;4612.0;5.2
2019;12;Comunidad de Madrid;América;Perú;5719.0;30311.0;5.3
2019;12;Comunidad de Madrid;América;República Dominicana;433.0;2078.0;4.8
2019;12;Comunidad de Madrid;América;Trinidad y Tobago;31.0;183.0;5.9
2019;12;Comunidad de Madrid;América;Uruguay;1856.0;5568.0;3.0
2019;12;Comunidad de Madrid;América;Venezuela;2960.0;36704.0;12.4
2019;12;Comunidad de Madrid;Asia;Arabia Saudí;1119.0;6714.0;6.0
2019;12;Comunidad de Madrid;Asia;Azerbaiyán;72.0;288.0;4.0
2019;12;Comunidad de Madrid;Asia;Bahréin;68.0;388.0;5.7
2019;12;Comunidad de Madrid;Asia;Bangladesh;44.0;180.0;4.1
2019;12;Comunidad de Madrid;Asia;Camboya;34.0;156.0;4.6
2019;12;Comunidad de Madrid;Asia;China;16400.0;124640.0;7.6
2019;12;Comunidad de Madrid;Asia;Corea;3349.0;15740.0;4.7
2019;12;Comunidad de Madrid;Asia;Emiratos Árabes Unidos;2317.0;11122.0;4.8
2019;12;Comunidad de Madrid;Asia;Filipinas;948.0;8627.0;9.1
2019;12;Comunidad de Madrid;Asia;India;2232.0;15847.0;7.1
2019;12;Comunidad de Madrid;Asia;Indonesia;931.0;4841.0;5.2
2019;12;Comunidad de Madrid;Asia;Iraq;133.0;771.0;5.8
2019;12;Comunidad de Madrid;Asia;Irán;169.0;1183.0;7.0
2019;12;Comunidad de Madrid;Asia;Israel;7609.0;25110.0;3.3
2019;12;Comunidad de Madrid;Asia;Japón;5773.0;31752.0;5.5
2019;12;Comunidad de Madrid;Asia;Jordania;138.0;593.0;4.3
2019;12;Comunidad de Madrid;Asia;Kazajstán;151.0;544.0;3.6
2019;12;Comunidad de Madrid;Asia;Kuwait;237.0;1612.0;6.8
2019;12;Comunidad de Madrid;Asia;Líbano;307.0;1566.0;5.1
2019;12;Comunidad de Madrid;Asia;Malasia;658.0;4080.0;6.2
